order_id,user_id,order_date,order_status,total_amount
O00000001,U01001,2025-12-31T11:50:46,pending,1671.52
O00000002,U01039,2025-08-09T12:04:48,completed,758.84
O00000003,U01037,2025-12-20T21:11:04,completed,544.71
O00000004,U01002,2025-01-07T06:55:17,pending,1555.95
O00000005,U01097,2026-01-03T14:14:37,completed,1747.89
O00000006,U01097,2026-03-12T00:54:20,pending,196.76
O00000007,U01037,2025-08-20T11:55:46,completed,2144.72
O00000008,U01032,2026-02-03T04:11:29,completed,1631.32
O00000009,U01091,2025-02-04T11:16:10,completed,197.86
O00000010,U01020,2025-10-25T01:57:04,completed,1914.52
O00000011,U01038,2025-07-30T22:38:32,completed,2223.33
O00000012,U01065,2025-11-30T16:17:03,completed,431.84
O00000013,U01098,2025-08-02T21:11:27,pending,887.98
O00000014,U01064,2025-09-14T03:02:57,pending,1176.35
O00000015,U01094,2025-05-27T22:17:15,completed,2444.44
O00000016,U01021,2026-04-01T23:02:06,completed,1889.42
O00000017,U01004,2025-02-13T19:37:23,completed,2679.1
O00000018,U01093,2025-12-01T13:59:22,completed,2418.3
O00000019,U01027,2025-10-21T06:35:48,completed,2506.98
O00000020,U01030,2025-06-01T14:53:08,pending,587.34
