user_id,days_since_signup
U000001,256
U000002,623
U000003,373
U000004,586
U000005,682
U000006,158
U000007,253
U000008,555
U000009,94
U000010,638
U000011,479
U000012,726
U000013,47
U000014,231
U000015,131
U000016,201
U000017,711
U000018,539
U000019,597
U000020,202
U000021,154
U000022,699
U000023,131
U000024,492
U000025,118
U000026,507
U000027,342
U000028,648
U000029,58
U000030,654
U000031,396
U000032,286
U000033,576
U000034,163
U000035,506
U000036,92
U000037,388
U000038,614
U000039,270
U000040,646
U000041,127
U000042,384
U000043,709
U000044,60
U000045,494
U000046,715
U000047,265
U000048,193
U000049,254
U000050,697
U000051,265
U000052,96
U000053,197
U000054,360
U000055,354
U000056,178
U000057,282
U000058,128
U000059,544
U000060,310
U000061,460
U000062,578
U000063,698
U000064,432
U000065,167
U000066,91
U000067,452
U000068,508
U000069,53
U000070,277
U000071,544
U000072,663
U000073,134
U000074,537
U000075,46
U000076,341
U000077,344
U000078,467
U000079,318
U000080,213
U000081,188
U000082,493
U000083,642
U000084,649
U000085,697
U000086,71
U000087,515
U000088,374
U000089,337
U000090,697
U000091,372
U000092,431
U000093,425
U000094,329
U000095,626
U000096,513
U000097,19
U000098,401
U000099,191
U000100,348
U000101,115
U000102,447
U000103,573
U000104,439
U000105,341
U000106,182
U000107,620
U000108,237
U000109,505
U000110,239
U000111,74
U000112,690
U000113,412
U000114,95
U000115,642
U000116,270
U000117,158
U000118,7
U000119,256
U000120,472
U000121,553
U000122,259
U000123,127
U000124,571
U000125,661
U000126,270
U000127,130
U000128,348
U000129,210
U000130,589
U000131,698
U000132,163
U000133,98
U000134,300
U000135,661
U000136,170
U000137,96
U000138,433
U000139,582
U000140,79
U000141,423
U000142,406
U000143,146
U000144,404
U000145,330
U000146,573
U000147,40
U000148,497
U000149,72
U000150,446
U000151,190
U000152,635
U000153,106
U000154,652
U000155,268
U000156,318
U000157,28
U000158,689
U000159,104
U000160,540
U000161,89
U000162,334
U000163,64
U000164,574
U000165,33
U000166,448
U000167,106
U000168,486
U000169,221
U000170,44
U000171,158
U000172,570
U000173,205
U000174,374
U000175,79
U000176,392
U000177,229
U000178,25
U000179,81
U000180,505
U000181,47
U000182,88
U000183,111
U000184,243
U000185,155
U000186,490
U000187,633
U000188,381
U000189,534
U000190,44
U000191,262
