order_id,user_id,order_date,order_status,total_amount
O00000001,U01079,2026-01-31T13:47:28,pending,950.49
O00000002,U01085,2026-03-14T21:58:45,pending,2152.52
O00000003,U01058,2025-10-28T20:00:28,completed,67.85
O00000004,U01071,2025-05-16T06:34:37,completed,870.55
O00000005,U01072,2025-04-02T13:30:12,completed,179.51
O00000006,U01028,2025-10-03T22:39:59,pending,2317.65
O00000007,U01043,2025-08-19T16:49:29,pending,2515.26
O00000008,U01040,2025-06-27T12:18:06,completed,2876.61
O00000009,U01068,2025-07-27T04:01:41,completed,2702.88
O00000010,U01091,2025-11-09T06:22:16,pending,1000.04
O00000011,U01073,2025-01-04T20:43:53,pending,133.37
O00000012,U01085,2025-09-17T21:46:47,pending,1367.18
O00000013,U01025,2025-07-24T13:48:36,pending,1981.43
O00000014,U01096,2026-01-08T04:17:01,pending,747.62
O00000015,U01055,2025-06-22T19:48:21,pending,778.96
O00000016,U01086,2026-01-27T23:35:47,completed,1369.85
O00000017,U01052,2026-03-22T08:24:21,completed,173.47
O00000018,U01011,2025-11-29T20:03:42,completed,2151.61
O00000019,U01000,2025-08-05T10:42:31,pending,1293.4
O00000020,U01075,2025-11-26T20:40:18,pending,270.21
O00000021,U01026,2025-01-19T08:15:32,completed,654.99
O00000022,U01042,2026-04-11T22:54:03,completed,2441.39
O00000023,U01025,2025-08-31T11:51:27,completed,2231.82
O00000024,U01071,2025-04-27T09:37:29,pending,989.26
O00000025,U01061,2026-03-16T17:29:13,completed,1405.05
O00000026,U01001,2025-01-17T11:03:14,pending,66.07
O00000027,U01087,2025-10-17T02:53:11,completed,56.41
O00000028,U01037,2025-01-04T16:53:33,completed,2488.74
O00000029,U01085,2025-06-27T03:51:32,completed,1423.63
O00000030,U01068,2025-06-23T00:46:52,pending,436.32
O00000031,U01023,2026-03-03T10:51:20,completed,2730.3
O00000032,U01052,2025-01-16T02:02:13,pending,719.57
O00000033,U01078,2025-10-12T05:18:31,completed,1215.09
O00000034,U01037,2026-02-06T09:08:34,pending,2680.83
O00000035,U01054,2025-12-08T05:32:14,pending,2016.68
O00000036,U01056,2026-04-26T09:58:28,pending,2022.12
O00000037,U01057,2025-05-14T21:50:40,completed,1830.04
O00000038,U01084,2025-07-05T23:23:27,pending,149.28
O00000039,U01026,2026-02-20T13:10:23,completed,2038.18
O00000040,U01030,2025-09-11T20:11:01,pending,185.48
O00000041,U01073,2025-05-29T23:05:14,completed,637.12
O00000042,U01026,2025-03-24T17:35:33,completed,1575.12
O00000043,U01082,2026-04-15T04:53:20,completed,1710.96
O00000044,U01016,2026-02-08T20:47:50,pending,2035.02
O00000045,U01032,2026-03-13T12:37:35,completed,2699.27
O00000046,U01023,2025-11-29T22:26:11,pending,1995.48
O00000047,U01091,2025-11-10T18:57:11,completed,2661.72
O00000048,U01085,2025-02-03T13:35:47,completed,399.34
O00000049,U01086,2025-11-01T04:18:30,completed,542.03
O00000050,U01017,2026-01-05T08:18:00,pending,2443.7
O00000051,U01005,2025-03-19T15:59:55,completed,1744.98
O00000052,U01098,2025-05-04T19:45:52,completed,1967.55
O00000053,U01034,2026-04-26T03:54:54,pending,2185.59
O00000054,U01082,2026-04-11T08:35:48,pending,629.44
O00000055,U01027,2025-01-12T14:06:20,completed,677.1
O00000056,U01052,2025-12-28T13:57:23,completed,973.21
O00000057,U01055,2026-04-22T05:54:31,completed,156.86
O00000058,U01015,2025-06-27T02:52:07,pending,2961.9
O00000059,U01009,2025-03-03T20:11:35,pending,425.39
O00000060,U01081,2026-03-31T21:47:18,completed,2804.31
O00000061,U01031,2025-02-02T22:31:07,completed,981.09
O00000062,U01077,2025-05-20T05:33:54,pending,1016.27
O00000063,U01049,2026-01-13T17:10:45,completed,1637.48
O00000064,U01045,2025-08-11T03:16:29,pending,263.51
O00000065,U01048,2025-10-10T13:40:30,pending,1993.8
O00000066,U01026,2025-01-13T16:15:17,completed,585.7
O00000067,U01013,2025-09-11T15:04:35,pending,2946.26
O00000068,U01099,2026-02-25T15:33:21,pending,42.1
O00000069,U01028,2025-11-23T14:50:52,completed,2893.89
