product_id,product_name,category,brand,price,rating,stock_quantity
P00001,OReilly Python Guide,Books,OReilly,320.36,2.0,27
P00002,Pearson Data Science Handbook,Books,Pearson,345.21,3.6,35
P00003,HP Tablet,Electronics,HP,472.97,2.2,12
P00004,HarperCollins Machine Learning Book,Books,HarperCollins,368.74,4.6,71
P00005,Uniqlo T-Shirt,Clothing,Uniqlo,362.59,3.8,15
P00006,OReilly SQL Fundamentals,Books,OReilly,210.72,1.6,30
P00007,HarperCollins SQL Fundamentals,Books,HarperCollins,231.27,1.3,91
P00008,Dyson Desk,Home & Garden,Dyson,288.56,1.7,33
P00009,Nike Jeans,Clothing,Nike,391.71,1.5,66
P00010,Apple Laptop,Electronics,Apple,90.1,3.8,49
P00011,Puma T-Shirt,Clothing,Puma,78.1,3.7,36
P00012,Nike Sneakers,Clothing,Nike,194.0,3.8,91
P00013,Ikea Vacuum,Home & Garden,Ikea,337.66,4.8,9
P00014,Penguin SQL Fundamentals,Books,Penguin,172.86,1.9,18
P00015,Levis Jeans,Clothing,Levis,83.76,3.0,96
P00016,Dell Smartphone,Electronics,Dell,306.91,2.6,26
P00017,KitchenAid Air Purifier,Home & Garden,KitchenAid,374.77,4.4,23
P00018,Apple Smartphone,Electronics,Apple,74.36,1.1,77
P00019,Philips Air Purifier,Home & Garden,Philips,198.84,4.7,69
P00020,Whirlpool Vacuum,Home & Garden,Whirlpool,90.95,3.3,5
P00021,Philips Coffee Maker,Home & Garden,Philips,247.62,1.9,83
P00022,Apple Smartphone,Electronics,Apple,274.71,1.8,95
P00023,Penguin SQL Fundamentals,Books,Penguin,262.58,1.9,0
P00024,Pearson Python Guide,Books,Pearson,271.76,2.5,0
P00025,Pearson Machine Learning Book,Books,Pearson,194.1,2.0,63
P00026,HP Monitor,Electronics,HP,189.4,2.6,54
P00027,Levis Jacket,Clothing,Levis,447.92,4.0,92
P00028,Dyson Air Purifier,Home & Garden,Dyson,376.12,4.2,77
P00029,HarperCollins SQL Fundamentals,Books,HarperCollins,242.17,4.5,94
P00030,KitchenAid Air Purifier,Home & Garden,KitchenAid,256.3,3.7,78
P00031,Adidas T-Shirt,Clothing,Adidas,62.76,2.0,26
