review_id,order_id,product_id,user_id,rating,review_text,review_date
R00000001,O00000001,P02087,U001992,5.0,Exceeded my expectations!,2025-12-07T17:47:56
R00000002,O00000002,P02526,U003234,4.0,,2026-01-31T00:04:43
R00000005,O00000005,P03627,U004008,5.0,Highly recommend,2025-07-26T03:20:02
R00000006,O00000006,P00857,U004860,4.0,,2025-02-03T13:50:39
R00000007,O00000007,P02069,U000283,1.0,Terrible quality,2025-12-18T03:58:35
R00000008,O00000008,P00812,U003217,3.0,Overpriced,2026-04-14T16:02:47
R00000009,O00000009,P04998,U004662,5.0,Highly recommend,2025-03-14T22:03:42
R00000011,O00000011,P02375,U004836,5.0,Highly recommend,2025-06-04T06:16:21
R00000013,O00000013,P01346,U003860,5.0,Highly recommend,2026-02-04T11:01:28
R00000014,O00000014,P02888,U001883,3.0,Overpriced,2025-02-15T07:27:44
R00000015,O00000015,P03501,U002753,1.0,Terrible quality,2026-04-22T16:33:21
R00000017,O00000017,P01315,U003685,3.0,Overpriced,2025-10-16T11:53:15
R00000018,O00000018,P03247,U002209,2.0,,2025-04-20T04:56:18
R00000020,O00000020,P02672,U003007,3.0,,2025-07-29T12:35:19
R00000022,O00000022,P00505,U000046,5.0,Highly recommend,2025-06-27T17:32:01
R00000023,O00000023,P01178,U002495,2.0,Not as expected,2025-02-04T19:44:50
R00000024,O00000024,P02793,U000469,2.0,Not as expected,2025-09-24T07:09:07
R00000027,O00000027,P02825,U003158,5.0,Highly recommend,2025-01-26T01:21:51
R00000031,O00000031,P04513,U001717,1.0,Terrible quality,2025-05-25T01:20:18
R00000032,O00000032,P03450,U001219,3.0,Overpriced,2025-09-26T21:06:30
R00000039,O00000039,P04212,U004886,5.0,Exceeded my expectations!,2025-05-25T05:15:25
R00000040,O00000040,P02112,U001612,4.0,Good product will buy again,2026-03-28T02:54:26
R00000041,O00000041,P01869,U002701,3.0,,2025-11-09T09:19:47
R00000042,O00000042,P02581,U002923,3.0,Overpriced,2025-07-09T04:00:37
R00000043,O00000043,P00518,U004132,5.0,Exceeded my expectations!,2025-10-14T02:30:20
R00000044,O00000044,P01253,U003530,5.0,Highly recommend,2025-12-23T02:14:28
R00000047,O00000047,P03128,U002557,1.0,Terrible quality,2025-11-07T01:07:26
R00000049,O00000049,P00292,U003353,1.0,Terrible quality,2025-01-21T13:29:05
R00000052,O00000052,P02383,U004211,2.0,Not as expected,2025-05-13T23:19:04
R00000053,O00000053,P01303,U002519,3.0,,2025-01-16T23:02:14
R00000054,O00000054,P00453,U002261,1.0,Terrible quality,2025-08-29T18:55:09
R00000055,O00000055,P02975,U000254,5.0,Highly recommend,2026-02-15T13:17:24
R00000060,O00000060,P02899,U001266,5.0,Highly recommend,2026-03-13T21:55:19
R00000061,O00000061,P01496,U002003,3.0,Not as expected,2025-05-24T14:17:29
R00000065,O00000065,P02001,U004191,2.0,Not as expected,2026-04-04T18:09:56
R00000066,O00000066,P01956,U000146,4.0,Good product will buy again,2025-05-13T06:51:07
R00000067,O00000067,P03975,U000754,5.0,,2025-10-04T07:16:48
R00000068,O00000068,P02710,U001322,1.0,Highly recommend,2025-08-16T06:00:26
R00000069,O00000069,P00920,U004546,5.0,Highly recommend,2026-02-19T14:28:15
R00000070,O00000070,P02052,U003016,3.0,Highly recommend,2025-10-16T07:57:57
R00000071,O00000071,P02958,U003259,3.0,Overpriced,2025-08-26T07:07:56
R00000074,O00000074,P03576,U002845,1.0,Terrible quality,2025-11-20T23:46:16
R00000076,O00000076,P00429,U000395,3.0,Overpriced,2026-02-02T03:41:00
R00000077,O00000077,P01410,U000998,5.0,Exceeded my expectations!,2025-10-04T00:24:07
R00000079,O00000079,P01322,U002279,2.0,Not as expected,2025-05-05T01:11:45
R00000080,O00000080,P02249,U003998,5.0,Highly recommend,2025-08-15T10:09:19
R00000081,O00000081,P03412,U000926,4.0,Good product will buy again,2025-08-26T18:18:36
R00000082,O00000082,P03013,U002269,1.0,Terrible quality,2026-02-19T21:29:07
R00000084,O00000084,P04175,U001178,5.0,Exceeded my expectations!,2026-01-27T14:24:57
R00000085,O00000085,P00339,U002570,5.0,Exceeded my expectations!,2025-04-23T00:06:06
R00000086,O00000086,P01172,U003199,1.0,,2026-03-25T16:47:20
R00000087,O00000087,P02006,U000579,1.0,Terrible quality,2025-11-19T05:13:43
R00000088,O00000088,P02164,U004776,5.0,Exceeded my expectations!,2025-02-01T03:51:54
R00000089,O00000089,P03370,U004256,5.0,Highly recommend,2025-03-01T12:18:25
R00000090,O00000090,P01472,U001963,1.0,Terrible quality,2025-09-05T22:53:15
R00000091,O00000091,P00635,U004395,2.0,Not as expected,2025-05-09T02:04:21
R00000092,O00000092,P02935,U002603,2.0,Not as expected,2025-11-14T06:06:58
R00000093,O00000093,P01494,U003947,5.0,Overpriced,2025-12-16T01:46:34
R00000094,O00000094,P01772,U002376,5.0,Exceeded my expectations!,2025-01-01T00:24:18
R00000095,O00000095,P01215,U000389,1.0,Terrible quality,2025-02-11T16:16:25
R00000096,O00000096,P02074,U001350,5.0,Exceeded my expectations!,2025-12-11T10:03:23
R00000097,O00000097,P01513,U004569,3.0,Overpriced,2025-06-14T00:23:53
R00000099,O00000099,P03859,U000034,5.0,Highly recommend,2026-04-07T19:45:22
R00000100,O00000100,P03793,U003341,2.0,Not as expected,2025-11-17T03:35:14
R00000101,O00000101,P02742,U004761,2.0,Not as expected,2025-10-27T07:07:52
R00000102,O00000102,P01972,U002165,2.0,,2025-11-08T13:38:01
R00000103,O00000103,P03038,U004522,5.0,Highly recommend,2025-02-27T12:40:59
R00000104,O00000104,P00489,U002788,4.0,Good product will buy again,2025-10-16T13:16:03
R00000105,O00000105,P00116,U001490,4.0,Good product will buy again,2025-02-20T10:52:54
R00000106,O00000106,P03209,U001094,4.0,Good product will buy again,2026-01-10T12:43:17
R00000108,O00000108,P01774,U000401,3.0,Overpriced,2025-04-29T08:33:34
R00000109,O00000109,P01271,U000663,1.0,,2025-05-27T22:33:59
R00000111,O00000111,P01890,U003318,5.0,Highly recommend,2026-01-27T09:39:20
R00000112,O00000112,P00568,U003599,1.0,Terrible quality,2025-04-08T18:16:40
R00000113,O00000113,P00612,U004084,5.0,Exceeded my expectations!,2026-03-21T18:38:21
R00000114,O00000114,P04438,U001737,3.0,Overpriced,2025-02-01T09:06:41
R00000119,O00000119,P02530,U001110,1.0,Highly recommend,2025-04-25T22:09:25
R00000120,O00000120,P01794,U004144,4.0,Good product will buy again,2026-03-30T23:49:41
R00000122,O00000122,P02931,U003117,2.0,Not as expected,2025-02-10T07:51:26
R00000126,O00000126,P04144,U003822,5.0,Highly recommend,2025-08-20T02:10:03
R00000127,O00000127,P01629,U000745,1.0,Terrible quality,2026-03-18T22:23:01
R00000128,O00000128,P01597,U003289,3.0,Overpriced,2025-06-10T22:13:46
R00000130,O00000130,P04603,U004049,4.0,Terrible quality,2026-03-02T03:05:18
R00000131,O00000131,P01231,U003722,1.0,Good product will buy again,2025-12-31T06:05:24
R00000132,O00000132,P03098,U004967,2.0,Not as expected,2025-09-20T14:03:45
R00000134,O00000134,P03087,U003840,4.0,Good product will buy again,2025-07-12T19:48:52
R00000136,O00000136,P03126,U002927,1.0,Terrible quality,2025-12-14T13:05:02
R00000138,O00000138,P01012,U003619,2.0,Not as expected,2025-02-06T18:52:50
R00000142,O00000142,P02483,U003918,5.0,Highly recommend,2026-01-07T08:43:21
R00000143,O00000143,P04298,U002843,4.0,Terrible quality,2025-05-22T19:09:52
R00000145,O00000145,P01018,U004901,3.0,Overpriced,2026-02-06T22:31:09
R00000146,O00000146,P03446,U002682,5.0,Highly recommend,2025-08-20T05:12:11
R00000147,O00000147,P00982,U002498,5.0,Exceeded my expectations!,2025-12-03T15:04:34
R00000149,O00000149,P02825,U000362,5.0,Highly recommend,2025-04-05T14:16:52
R00000150,O00000150,P01464,U001513,1.0,Terrible quality,2025-02-08T14:22:28
R00000153,O00000153,P02184,U002520,5.0,,2025-04-28T15:40:07
R00000154,O00000154,P04509,U000170,4.0,Good product will buy again,2025-08-15T08:48:35
R00000155,O00000155,P02016,U002203,2.0,Not as expected,2025-11-20T01:58:12
R00000156,O00000156,P03427,U002238,5.0,Good product will buy again,2026-04-27T14:21:27
R00000157,O00000157,P04180,U004239,3.0,Overpriced,2025-10-13T10:42:57
R00000159,O00000159,P02092,U001069,2.0,Not as expected,2025-08-28T18:10:39
R00000160,O00000160,P04807,U002478,5.0,Highly recommend,2025-10-17T17:55:25
R00000164,O00000164,P01660,U001904,5.0,Highly recommend,2025-12-04T23:44:52
R00000165,O00000165,P01574,U002209,3.0,Overpriced,2025-01-18T09:24:40
R00000166,O00000166,P01222,U000144,5.0,Exceeded my expectations!,2026-02-27T03:11:46
R00000167,O00000167,P02054,U001267,1.0,Terrible quality,2026-04-10T22:36:19
R00000169,O00000169,P02038,U000335,2.0,Not as expected,2025-05-12T20:10:26
R00000170,O00000170,P00358,U003422,1.0,Exceeded my expectations!,2026-03-09T07:49:25
R00000171,O00000171,P03851,U004557,1.0,Terrible quality,2025-03-10T23:21:55
R00000173,O00000173,P02676,U000342,5.0,Exceeded my expectations!,2025-07-10T17:58:18
R00000174,O00000174,P03525,U000088,5.0,Exceeded my expectations!,2025-06-16T23:58:43
R00000175,O00000175,P04080,U001540,5.0,Highly recommend,2025-01-17T02:16:24
R00000176,O00000176,P00355,U001899,2.0,Not as expected,2025-10-14T02:32:32
R00000177,O00000177,P01010,U001018,4.0,Good product will buy again,2025-02-05T23:52:27
R00000178,O00000178,P03706,U001328,5.0,,2025-08-19T12:17:46
R00000179,O00000179,P00413,U002249,3.0,Overpriced,2025-12-04T18:53:35
R00000180,O00000180,P01996,U002587,3.0,,2025-03-06T02:31:38
R00000182,O00000182,P00349,U003578,5.0,Good product will buy again,2025-03-02T08:23:56
R00000183,O00000183,P04893,U001034,5.0,Highly recommend,2025-06-15T01:44:17
R00000185,O00000185,P01867,U003986,5.0,Exceeded my expectations!,2025-08-24T21:03:11
R00000186,O00000186,P00508,U003532,4.0,Good product will buy again,2025-09-28T05:11:19
R00000188,O00000188,P03374,U003927,1.0,Terrible quality,2025-03-24T16:20:21
R00000189,O00000189,P03356,U004584,4.0,Good product will buy again,2026-01-08T02:00:39
R00000190,O00000190,P03345,U000629,1.0,,2025-10-25T11:33:00
R00000191,O00000191,P04867,U002197,1.0,Terrible quality,2025-03-01T07:04:55
R00000193,O00000193,P03395,U004671,2.0,,2025-01-18T15:00:29
R00000195,O00000195,P02689,U004303,2.0,Not as expected,2025-09-19T13:59:10
R00000197,O00000197,P01537,U003042,4.0,Good product will buy again,2025-08-31T01:33:57
R00000200,O00000200,P04284,U003986,1.0,Highly recommend,2025-06-15T03:30:56
R00000201,O00000201,P02952,U003188,5.0,Highly recommend,2025-05-29T09:55:16
R00000202,O00000202,P03208,U002631,1.0,,2025-02-19T10:57:23
R00000203,O00000203,P04578,U004561,3.0,Overpriced,2026-03-12T04:58:20
R00000204,O00000204,P03607,U003915,1.0,,2025-08-21T20:43:37
R00000206,O00000206,P02871,U004624,4.0,Good product will buy again,2026-02-16T11:44:26
R00000207,O00000207,P01740,U004781,3.0,Overpriced,2025-02-06T06:51:21
R00000208,O00000208,P04542,U003482,2.0,Good product will buy again,2025-03-25T11:47:11
R00000209,O00000209,P01256,U004659,2.0,Not as expected,2025-12-10T17:37:04
R00000211,O00000211,P00045,U004094,5.0,Exceeded my expectations!,2025-02-15T20:42:40
R00000212,O00000212,P03818,U004025,1.0,Terrible quality,2026-01-07T20:07:29
R00000213,O00000213,P00848,U001910,5.0,Exceeded my expectations!,2025-09-29T14:34:30
R00000214,O00000214,P00351,U000489,1.0,Terrible quality,2025-02-04T23:39:30
R00000215,O00000215,P01946,U003715,2.0,Not as expected,2025-10-01T03:21:40
R00000216,O00000216,P00057,U004034,5.0,Exceeded my expectations!,2025-12-18T14:35:12
R00000217,O00000217,P00446,U002482,5.0,Exceeded my expectations!,2025-01-24T16:34:09
R00000218,O00000218,P01027,U000094,4.0,Good product will buy again,2025-08-10T14:39:24
R00000219,O00000219,P01171,U001238,5.0,Highly recommend,2025-01-10T22:41:43
