product_id,product_name,category,brand,price,rating,stock_quantity
P00001,HarperCollins Machine Learning Book,Books,HarperCollins,201.23,2.8,83
P00002,Samsung Headphones,Electronics,Samsung,345.49,1.7,79
P00003,Uniqlo Hoodie,Clothing,Uniqlo,236.25,2.9,27
P00004,Puma T-Shirt,Clothing,Puma,32.25,3.7,57
P00005,Uniqlo Hoodie,Clothing,Uniqlo,446.69,3.8,60
P00006,Adidas T-Shirt,Unknown,Adidas,378.58,4.7,32
P00007,Pearson Data Science Handbook,Books,Pearson,0.0,4.0,42
P00008,HarperCollins Data Science Handbook,Books,HarperCollins,484.99,4.2,91
P00009,Pearson SQL Fundamentals,Unknown,Pearson,384.51,3.0,20
P00010,Adidas Jacket,Unknown,Adidas,83.27,3.2,32
P00011,OReilly Data Science Handbook,Books,OReilly,309.89,1.4,86
P00012,OReilly Python Guide,Books,OReilly,331.4,1.8,67
P00013,HarperCollins Data Science Handbook,Books,HarperCollins,183.89,1.3,28
P00014,Pearson Python Guide,Books,Pearson,154.77,2.7,28
P00015,Penguin Data Science Handbook,Books,Penguin,121.94,3.7,77
P00016,Pearson Python Guide,Books,Pearson,126.03,2.6,30
P00017,Nike Sneakers,Clothing,Nike,225.83,1.9,9
P00018,Whirlpool Lamp,Home & Garden,Whirlpool,351.45,3.9,6
P00019,Philips Vacuum,Home & Garden,Philips,419.21,3.5,29
P00020,Apple Headphones,Electronics,Apple,50.27,1.2,89
P00021,Sony Smartphone,Electronics,Sony,408.2,4.4,24
P00022,Dell Laptop,Electronics,Dell,251.61,1.6,96
P00023,Nike Jacket,Clothing,Nike,0.0,5.0,76
P00024,Whirlpool Coffee Maker,Home & Garden,Whirlpool,254.07,2.5,41
P00025,Pearson SQL Fundamentals,Books,Pearson,114.94,4.7,71
P00026,Dell Monitor,Electronics,Dell,451.28,1.8,53
P00027,Samsung Monitor,Unknown,Samsung,393.02,4.5,37
P00028,Nike Sneakers,Clothing,Nike,231.51,4.3,97
P00029,Dell Smartphone,Electronics,Dell,442.88,1.9,8
P00030,HarperCollins SQL Fundamentals,Books,HarperCollins,164.59,3.2,90
P00031,Dyson Lamp,Home & Garden,Dyson,285.97,2.1,83
P00032,OReilly Data Science Handbook,Books,OReilly,104.82,3.9,95
P00033,HP Smartphone,Electronics,HP,38.09,3.7,42
P00034,Dell Monitor,Unknown,Dell,103.97,2.7,57
P00035,Uniqlo T-Shirt,Clothing,Uniqlo,0.0,2.9,17
P00036,Levis Jacket,Clothing,Levis,359.85,2.0,79
P00037,OReilly Data Science Handbook,Books,OReilly,433.33,1.2,23
P00038,Sony Monitor,Electronics,Sony,197.41,3.5,53
P00039,Levis Hoodie,Clothing,Levis,264.7,4.5,41
P00040,HarperCollins SQL Fundamentals,Books,HarperCollins,165.43,2.6,37
P00041,Penguin Machine Learning Book,Books,Penguin,327.75,1.0,91
P00042,HarperCollins Data Science Handbook,Books,HarperCollins,203.73,3.9,8
P00043,Philips Lamp,Home & Garden,Philips,0.0,2.1,70
P00044,Pearson Python Guide,Books,Pearson,73.59,4.7,13
