order_id,user_id,order_date,order_status,total_amount
O00000001,U01024,2026-03-16T02:39:08,pending,1867.52
O00000002,U01043,2025-05-01T10:11:26,completed,2474.37
O00000003,U01019,2025-02-02T16:46:52,pending,2441.55
O00000004,U01091,2026-02-28T12:50:54,completed,831.34
O00000005,U01094,2025-09-20T16:38:41,completed,2764.99
O00000006,U01050,2026-04-27T16:42:04,pending,2196.16
O00000007,U01091,2025-12-23T22:33:44,completed,626.72
O00000008,U01020,2025-09-20T13:31:20,pending,1312.63
O00000009,U01092,2025-11-01T15:28:12,pending,355.46
O00000010,U01039,2025-05-25T02:43:25,completed,1188.77
O00000011,U01085,2025-03-05T22:17:26,completed,1925.91
O00000012,U01063,2025-09-15T01:44:45,completed,2928.48
O00000013,U01007,2026-02-20T12:56:33,completed,1242.68
O00000014,U01071,2025-11-20T09:39:07,pending,1617.55
O00000015,U01041,2025-11-28T02:23:56,completed,401.93
O00000016,U01064,2026-02-25T17:13:38,completed,1506.83
O00000017,U01050,2025-06-24T03:11:21,completed,332.75
O00000018,U01058,2025-01-30T07:18:35,completed,2481.05
O00000019,U01075,2025-06-29T12:37:55,pending,2504.07
O00000020,U01071,2026-01-25T19:39:04,completed,2928.67
O00000021,U01078,2025-04-02T08:59:07,pending,2977.18
O00000022,U01008,2025-11-10T22:51:57,completed,2183.25
O00000023,U01047,2025-12-23T00:33:21,pending,2928.27
O00000024,U01022,2025-12-06T21:06:09,completed,1235.5
O00000025,U01083,2026-02-10T02:40:50,pending,1034.06
O00000026,U01083,2025-07-16T08:27:49,pending,1178.12
O00000027,U01097,2025-02-13T04:27:07,pending,879.37
O00000028,U01094,2025-07-19T07:05:49,completed,681.58
O00000029,U01017,2026-04-07T07:04:37,completed,589.65
O00000030,U01087,2025-03-06T05:18:38,completed,1199.31
O00000031,U01029,2025-06-27T09:40:16,pending,1026.64
O00000032,U01013,2025-02-03T11:43:17,completed,1591.85
O00000033,U01025,2025-01-15T19:34:34,completed,2250.87
O00000034,U01074,2025-07-05T13:16:57,completed,871.52
O00000035,U01099,2025-06-30T15:01:33,pending,2005.72
O00000036,U01053,2026-01-17T23:06:42,pending,2255.29
O00000037,U01031,2025-08-21T02:33:58,completed,608.1
O00000038,U01077,2025-01-30T09:27:12,completed,1512.46
O00000039,U01041,2025-02-13T12:45:52,pending,2972.16
O00000040,U01038,2025-08-03T14:20:57,completed,289.6
O00000041,U01018,2025-12-27T20:07:49,pending,2888.6
O00000042,U01003,2026-04-04T20:06:43,completed,586.68
O00000043,U01010,2025-11-08T04:28:35,completed,2511.31
O00000044,U01081,2026-02-20T20:47:20,pending,1779.2
O00000045,U01073,2025-04-21T02:25:45,pending,2429.47
O00000046,U01033,2025-11-15T06:17:53,pending,1679.8
O00000047,U01050,2025-09-04T10:02:12,pending,2228.09
O00000048,U01042,2025-05-27T13:05:06,completed,1707.74
O00000049,U01002,2025-08-21T03:04:03,completed,2711.65
O00000050,U01062,2025-08-19T21:02:20,completed,2110.07
O00000051,U01071,2026-01-10T05:58:12,pending,2691.48
O00000052,U01087,2025-12-21T10:25:01,completed,2762.1
O00000053,U01051,2025-05-08T06:31:56,completed,803.91
O00000054,U01037,2026-03-10T14:54:44,completed,285.79
O00000055,U01077,2025-11-20T04:41:09,completed,1043.33
O00000056,U01086,2026-03-30T03:02:31,completed,1041.61
O00000057,U01036,2025-03-22T16:15:47,pending,1329.88
O00000058,U01033,2025-11-15T12:11:17,pending,1984.71
O00000059,U01012,2025-05-27T19:56:02,completed,312.97
O00000060,U01041,2026-01-03T07:00:51,completed,2119.82
O00000061,U01054,2025-08-03T11:46:28,completed,2396.92
O00000062,U01068,2025-04-28T00:50:53,completed,2798.49
O00000063,U01028,2025-09-23T16:43:48,pending,992.58
O00000064,U01098,2025-09-26T18:17:26,pending,444.21
O00000065,U01024,2025-07-15T04:03:30,completed,699.64
O00000066,U01061,2025-08-19T04:11:26,pending,1576.53
O00000067,U01057,2025-08-13T06:26:00,completed,2986.55
O00000068,U01001,2025-01-08T10:44:00,pending,157.68
O00000069,U01054,2026-01-19T13:54:13,completed,137.81
O00000070,U01089,2025-03-30T02:41:17,completed,2928.42
O00000071,U01058,2025-05-05T04:46:37,pending,992.18
O00000072,U01096,2026-02-24T20:29:35,pending,1409.65
O00000073,U01090,2025-12-22T03:54:42,pending,211.26
O00000074,U01037,2025-01-29T03:39:36,completed,2044.75
O00000075,U01062,2025-05-11T14:20:00,pending,1287.69
O00000076,U01004,2026-02-09T20:24:32,completed,1380.84
O00000077,U01033,2026-01-23T09:20:10,pending,2706.21
O00000078,U01099,2025-08-16T10:45:57,completed,1230.44
O00000079,U01066,2025-08-27T23:43:34,pending,2370.86
O00000080,U01090,2026-01-14T03:30:22,completed,473.48
O00000081,U01056,2025-01-17T23:20:33,completed,155.45
O00000082,U01014,2026-01-03T07:33:16,pending,42.18
O00000083,U01036,2025-01-04T07:08:25,completed,448.77
O00000084,U01034,2025-04-15T16:12:53,pending,2898.22
O00000085,U01041,2026-03-18T01:16:42,pending,1500.05
O00000086,U01010,2025-03-23T05:54:17,pending,638.63
O00000087,U01092,2025-10-04T03:34:02,pending,2067.15
O00000088,U01001,2025-05-04T18:39:22,completed,971.13
O00000089,U01053,2025-06-19T09:39:30,pending,2031.88
O00000090,U01046,2026-03-02T18:30:38,pending,1453.32
O00000091,U01070,2025-12-23T03:42:24,completed,824.51
O00000092,U01080,2025-12-13T17:28:21,completed,2776.93
O00000093,U01079,2025-09-02T15:11:45,completed,1707.14
O00000094,U01011,2025-09-11T20:33:09,completed,577.64
O00000095,U01048,2025-04-17T23:03:04,completed,1101.99
O00000096,U01087,2025-06-19T01:38:48,pending,849.4
O00000097,U01046,2025-07-13T04:01:06,pending,168.87
O00000098,U01037,2026-03-12T01:42:55,pending,1566.21
O00000099,U01031,2025-09-01T14:35:24,pending,1013.27
O00000100,U01044,2025-10-21T08:45:04,completed,2469.79
