product_id,product_name,category,brand,price,rating,stock_quantity
P00001,Philips Air Purifier,Home & Garden,Philips,385.37,4.6,70
P00002,Pearson Machine Learning Book,Books,Pearson,434.17,1.5,90
P00003,KitchenAid Coffee Maker,Home & Garden,KitchenAid,192.87,4.9,96
P00004,Apple Monitor,Electronics,Apple,177.1,4.2,38
P00005,Levis Jeans,Clothing,Levis,329.98,1.2,55
P00006,Apple Tablet,Electronics,Apple,139.57,4.1,15
P00007,Apple Smartphone,Electronics,Apple,403.81,4.1,46
P00008,Levis Hoodie,Clothing,Levis,237.56,3.6,33
P00009,Sony Headphones,Electronics,Sony,158.91,4.2,70
P00010,Whirlpool Vacuum,Home & Garden,Whirlpool,302.49,1.6,73
P00011,Pearson Data Science Handbook,Books,Pearson,431.71,4.9,81
P00012,Dyson Desk,Home & Garden,Dyson,305.09,1.4,57
P00013,Levis Jacket,Clothing,Levis,130.15,3.5,35
P00014,Samsung Laptop,Electronics,Samsung,249.96,1.1,18
P00015,Whirlpool Desk,Home & Garden,Whirlpool,338.29,2.8,89
P00016,Samsung Laptop,Electronics,Samsung,123.63,2.5,17
P00017,Nike Jeans,Clothing,Nike,433.11,1.4,61
P00018,Apple Laptop,Electronics,Apple,66.49,1.7,0
P00019,Dyson Lamp,Home & Garden,Dyson,414.79,4.7,46
P00020,Apple Smartphone,Electronics,Apple,274.91,3.9,36
P00021,Uniqlo Jacket,Clothing,Uniqlo,447.26,1.5,66
P00022,HarperCollins Machine Learning Book,Books,HarperCollins,162.12,1.6,67
P00023,Philips Vacuum,Home & Garden,Philips,352.32,2.0,22
P00024,Sony Tablet,Electronics,Sony,392.64,3.0,24
P00025,Penguin Python Guide,Books,Penguin,262.1,1.8,40
P00026,Penguin SQL Fundamentals,Books,Penguin,314.7,1.2,77
P00027,Nike Jacket,Clothing,Nike,215.67,2.1,3
P00028,Ikea Desk,Home & Garden,Ikea,138.47,4.5,67
P00029,OReilly Data Science Handbook,Books,OReilly,469.15,4.0,89
P00030,OReilly SQL Fundamentals,Books,OReilly,283.99,4.8,57
P00031,Pearson Data Science Handbook,Books,Pearson,400.56,2.0,64
P00032,Penguin SQL Fundamentals,Books,Penguin,268.06,2.2,9
P00033,Ikea Lamp,Home & Garden,Ikea,161.42,2.8,36
P00034,HP Headphones,Electronics,HP,288.95,1.8,57
P00035,HP Smartphone,Electronics,HP,372.53,2.1,95
P00036,Apple Laptop,Electronics,Apple,199.63,4.2,100
P00037,Samsung Smartphone,Electronics,Samsung,323.47,4.6,44
P00038,HarperCollins SQL Fundamentals,Books,HarperCollins,218.63,3.3,55
P00039,Levis T-Shirt,Clothing,Levis,123.89,3.0,1
P00040,Uniqlo Sneakers,Clothing,Uniqlo,138.14,3.9,59
P00041,HP Tablet,Electronics,HP,422.74,4.6,57
P00042,Sony Tablet,Electronics,Sony,245.62,1.3,100
P00043,Philips Air Purifier,Home & Garden,Philips,67.41,4.2,34
P00044,Uniqlo Sneakers,Clothing,Uniqlo,342.52,1.9,92
P00045,Pearson Data Science Handbook,Books,Pearson,344.29,3.5,59
