review_id,order_id,product_id,user_id,rating,review_text,review_date
R00000001,O00000001,P02347,U003285,3.0,Overpriced,2025-12-05T07:37:57
R00000002,O00000002,P03458,U001473,3.0,Overpriced,2025-05-04T19:32:46
R00000004,O00000004,P00151,U003992,5.0,Exceeded my expectations!,2026-02-26T20:12:45
R00000005,O00000005,P02789,U003009,3.0,Overpriced,2025-08-18T04:18:53
R00000007,O00000007,P00518,U002063,3.0,Overpriced,2026-04-02T19:49:45
R00000010,O00000010,P04856,U003148,5.0,,2025-02-28T16:45:53
R00000011,O00000011,P00032,U002790,4.0,Good product will buy again,2026-01-01T17:18:25
R00000013,O00000013,P01210,U003801,1.0,Terrible quality,2025-04-30T23:58:30
R00000015,O00000015,P01367,U000547,3.0,Overpriced,2026-02-28T02:49:55
R00000016,O00000016,P02379,U002466,5.0,Exceeded my expectations!,2025-08-30T18:49:43
R00000017,O00000017,P03836,U000990,4.0,Good product will buy again,2025-05-16T21:00:39
R00000018,O00000018,P01134,U004470,5.0,Exceeded my expectations!,2026-03-13T14:36:34
R00000020,O00000020,P02636,U004426,5.0,Highly recommend,2026-01-13T02:53:52
R00000022,O00000022,P01149,U003544,5.0,Highly recommend,2025-02-12T17:19:58
R00000025,O00000025,P02371,U004890,4.0,Good product will buy again,2025-05-28T05:54:21
R00000026,O00000026,P02028,U002210,1.0,Good product will buy again,2026-03-26T21:57:42
R00000027,O00000027,P01043,U003063,1.0,Terrible quality,2025-05-30T13:14:26
R00000029,O00000029,P02527,U000672,5.0,Good product will buy again,2025-05-20T21:20:42
R00000030,O00000030,P00492,U003932,5.0,Highly recommend,2025-04-04T20:31:15
R00000031,O00000031,P03269,U000677,3.0,Overpriced,2025-12-12T10:12:41
R00000032,O00000032,P02196,U003642,5.0,Exceeded my expectations!,2025-03-22T15:37:31
R00000034,O00000034,P01334,U000045,3.0,Overpriced,2025-10-11T04:04:37
R00000035,O00000035,P04245,U001320,,,2025-03-01T22:21:11
R00000036,O00000036,P03165,U003876,4.0,Good product will buy again,2025-12-17T18:52:17
R00000037,O00000037,P03458,U003849,2.0,Not as expected,2025-06-11T15:30:24
R00000042,O00000042,P04089,U002109,1.0,Terrible quality,2026-03-28T09:56:42
R00000043,O00000043,P03896,U000215,3.0,Overpriced,2025-03-12T17:57:25
R00000046,O00000046,P02197,U003644,5.0,Highly recommend,2026-03-16T19:40:23
R00000048,O00000048,P03962,U003463,3.0,Overpriced,2026-04-11T05:26:12
R00000050,O00000050,P01558,U004344,5.0,Highly recommend,2025-04-06T01:47:17
R00000051,O00000051,P02573,U002612,5.0,Highly recommend,2025-09-13T09:04:44
R00000053,O00000053,P02976,U003068,5.0,Exceeded my expectations!,2025-01-12T19:14:14
R00000054,O00000054,P00359,U002435,1.0,Terrible quality,2025-05-23T16:31:38
R00000055,O00000055,P03493,U000580,5.0,Exceeded my expectations!,2026-02-06T02:44:33
R00000056,O00000056,P04221,U000927,,Not as expected,2026-04-24T00:39:22
R00000058,O00000058,P00454,U004587,1.0,Terrible quality,2025-03-27T19:29:28
R00000063,O00000063,P04600,U003215,3.0,Overpriced,2025-11-13T05:25:59
