order_id,user_id,order_date,order_status,total_amount
O00000001,U01068,2025-05-02T04:34:39,completed,729.59
O00000002,U01006,2025-08-02T20:54:01,completed,836.71
O00000003,U01026,2025-12-16T04:09:03,completed,1803.48
O00000004,U01027,2025-12-29T11:34:03,completed,257.91
O00000005,U01092,2025-04-24T15:09:23,completed,1250.83
O00000006,U01071,2025-07-05T03:15:33,completed,909.14
O00000007,U01061,2026-02-13T13:47:13,completed,2915.74
O00000008,U01087,2026-03-08T04:00:01,pending,2579.29
O00000009,U01076,2025-03-06T22:08:31,pending,1178.22
O00000010,U01091,2026-04-20T15:53:43,pending,1157.74
O00000011,U01063,2025-11-09T17:32:01,pending,2886.81
O00000012,U01068,2025-11-29T02:55:57,completed,984.66
O00000013,U01059,2025-10-17T17:09:52,pending,1583.81
O00000014,U01064,2026-02-15T17:06:48,pending,780.69
O00000015,U01009,2025-04-11T16:25:11,completed,2715.96
O00000016,U01056,2025-06-20T16:01:24,completed,2281.92
O00000017,U01006,2026-01-21T11:57:23,completed,593.72
O00000018,U01002,2025-07-04T16:43:37,pending,375.59
O00000019,U01080,2026-03-29T21:26:27,completed,1917.65
O00000020,U01031,2025-08-17T21:08:32,pending,873.79
