product_id,product_name,category,brand,price,rating,stock_quantity,price_scaled,category_encoded
P00001,Philips Desk,Home & Garden,Philips,499.62,2.0,47,1.6124225319613232,3
P00002,Pearson Python Guide,Books,Pearson,255.78,2.6,9,-0.022763446538789714,0
P00003,Samsung Monitor,Electronics,Samsung,216.29,3.9,11,-0.28758256682655825,2
P00004,Penguin Data Science Handbook,Books,Penguin,383.02,4.8,55,0.8305053522815611,0
P00005,Nike Sneakers,Clothing,Nike,94.86,4.9,55,-1.1018896262477718,1
P00006,Sony Smartphone,Electronics,Sony,416.83,3.8,13,1.057234510471722,2
P00007,Dell Smartphone,Electronics,Dell,92.13,2.7,45,-1.1201969495798965,2
P00008,Puma T-Shirt,Clothing,Puma,464.17,3.2,91,1.3746955678134025,1
P00009,Apple Smartphone,Electronics,Apple,20.75,4.3,48,-1.5988697479121556,2
P00010,Penguin Python Guide,Books,Penguin,480.52,1.6,14,1.484338328428875,0
P00011,Nike Sneakers,Clothing,Nike,388.24,1.6,55,0.8655105639276021,1
P00012,Adidas Hoodie,Clothing,Adidas,110.12,2.9,20,-0.9995563830066639,1
P00013,Sony Monitor,Electronics,Sony,36.81,3.1,92,-1.4911717212770186,2
P00014,Samsung Smartphone,Electronics,Samsung,32.45,1.3,70,-1.520409790774478,2
P00015,Puma Jacket,Clothing,Puma,439.13,4.0,1,1.206777847580287,1
P00016,Penguin Python Guide,Books,Penguin,406.76,3.6,57,0.9897052994993789,0
P00017,OReilly Machine Learning Book,Books,OReilly,450.47,2.5,99,1.282823652190652,0
P00018,Uniqlo Hoodie,Clothing,Uniqlo,357.69,4.5,13,0.6606428980681104,1
P00019,Adidas Jacket,Clothing,Adidas,98.78,2.0,20,-1.0756021876170285,1
P00020,OReilly Data Science Handbook,Books,OReilly,108.02,2.9,42,-1.0136389394159908,0
P00021,Ikea Coffee Maker,Home & Garden,Ikea,242.61,3.6,77,-0.11108119316299603,3
P00022,Nike T-Shirt,Clothing,Nike,380.41,4.0,91,0.813002746458541,1
P00023,Philips Desk,Home & Garden,Philips,133.93,1.5,72,-0.8398870172418686,3
P00024,Ikea Lamp,Home & Garden,Ikea,307.83,1.9,63,0.3262827730352377,3
P00025,Dell Monitor,Electronics,Dell,438.18,1.9,63,1.2004071672998775,2
P00026,Sony Tablet,Electronics,Sony,274.99,4.2,96,0.10605841471033751,2
P00027,Apple Headphones,Electronics,Apple,393.08,4.4,44,0.8979675034614788,2
P00028,Philips Lamp,Home & Garden,Philips,62.99,3.2,47,-1.3156091847074116,3
P00029,Nike Sneakers,Clothing,Nike,26.35,4.6,48,-1.561316264153951,1
P00030,HarperCollins Machine Learning Book,Books,HarperCollins,334.8,3.4,70,0.5071430332064487,0
P00031,Penguin Machine Learning Book,Books,Penguin,287.28,4.4,78,0.1884748996011115,0
P00032,Adidas Hoodie,Clothing,Adidas,315.36,4.4,11,0.3767787967315382,1
P00033,Dell Headphones,Electronics,Dell,454.67,4.9,80,1.3109887650093053,2
P00034,Uniqlo Sneakers,Clothing,Uniqlo,219.15,4.6,67,-0.2684034661929036,1
P00035,Philips Lamp,Home & Garden,Philips,233.25,3.1,89,-0.17384915887313826,3
P00036,Adidas Hoodie,Clothing,Adidas,193.56,4.9,11,-0.440009475009414,1
P00037,Nike Jeans,Clothing,Nike,41.32,1.0,27,-1.4609277548931787,1
P00038,KitchenAid Coffee Maker,Home & Garden,KitchenAid,105.69,4.2,77,-1.0292638710511008,3
P00039,Adidas Jeans,Clothing,Adidas,418.68,2.3,50,1.0696405720704147,1
P00040,Uniqlo Sneakers,Clothing,Uniqlo,356.21,2.9,9,0.6507180487891561,1
P00041,Penguin Data Science Handbook,Books,Penguin,86.76,2.8,100,-1.156208058112318,0
P00042,OReilly Python Guide,Books,OReilly,470.08,2.4,69,1.4143279051367934,0
P00043,Dell Laptop,Electronics,Dell,439.63,2.8,52,1.2101308372015553,2
P00044,Dell Headphones,Electronics,Dell,109.23,3.6,81,-1.0055247045325213,2
P00045,Nike Sneakers,Clothing,Nike,249.51,4.3,80,-0.06480993638949396,1
P00046,Sony Monitor,Electronics,Sony,36.73,1.2,53,-1.4917081996164216,2
P00047,Uniqlo T-Shirt,Clothing,Uniqlo,485.38,2.7,93,1.5169293875476026,1
P00048,Sony Tablet,Electronics,Sony,498.74,1.5,60,1.606521270227891,2
P00049,KitchenAid Desk,Home & Garden,KitchenAid,10.56,2.7,57,-1.6672036763936031,3
P00050,KitchenAid Air Purifier,Home & Garden,KitchenAid,249.74,3.9,29,-0.06326756116371043,3
P00051,HarperCollins Machine Learning Book,Books,HarperCollins,212.19,4.5,52,-0.31507708172095805,0
P00052,Puma Jeans,Clothing,Puma,98.07,4.1,82,-1.0803634328792295,1
P00053,Puma Jeans,Clothing,Puma,57.12,3.6,24,-1.3549732828611012,1
P00054,Sony Smartphone,Electronics,Sony,464.63,3.5,10,1.3777803182649693,2
P00055,Sony Laptop,Electronics,Sony,264.59,5.0,98,0.03631623058795714,2
P00056,Sony Smartphone,Electronics,Sony,244.58,3.5,11,-0.09787041405519903,2
P00057,KitchenAid Coffee Maker,Home & Garden,KitchenAid,321.76,4.6,49,0.4196970638837719,3
P00058,Dell Tablet,Electronics,Dell,349.42,4.9,14,0.6051844497323332,2
P00059,Philips Lamp,Home & Garden,Philips,460.12,1.7,78,1.3475363518811294,3
P00060,Puma T-Shirt,Clothing,Puma,286.65,3.7,17,0.1842501326783135,1
P00061,HP Laptop,Electronics,HP,122.14,4.3,56,-0.9189505125113747,2
P00062,Ikea Vacuum,Home & Garden,Ikea,196.33,2.4,79,-0.42143391250758766,3
P00063,OReilly Python Guide,Books,OReilly,18.33,5.0,82,-1.6150982176790942,0
P00064,Philips Lamp,Home & Garden,Philips,283.97,3.1,50,0.16627810830831588,3
P00065,Ikea Air Purifier,Home & Garden,Ikea,360.45,1.3,66,0.6791514007775111,3
P00066,Nike Jeans,Clothing,Nike,357.9,1.9,8,0.6620511537090429,1
P00067,OReilly Python Guide,Books,OReilly,430.57,1.0,95,1.1493746652641743,0
P00068,HarperCollins SQL Fundamentals,Books,HarperCollins,81.24,3.5,80,-1.1932250635311195,0
P00069,HarperCollins SQL Fundamentals,Books,HarperCollins,364.55,2.2,9,0.7066459156719112,0
P00070,Adidas Hoodie,Clothing,Adidas,220.16,3.1,78,-0.26163042715794177,1
P00071,Dyson Air Purifier,Home & Garden,Dyson,263.71,4.4,82,0.030414968854525003,3
P00072,HP Smartphone,Electronics,HP,285.79,1.8,17,0.17848299052973235,2
P00073,Apple Monitor,Electronics,Apple,225.85,2.8,21,-0.22347340526790876,2
P00074,Penguin Data Science Handbook,Books,Penguin,164.03,1.4,91,-0.6380370420415185,0
P00075,Philips Vacuum,Home & Garden,Philips,443.43,1.7,27,1.2356135583231944,3
P00076,Puma Jacket,Clothing,Puma,155.42,2.8,89,-0.6957755233197582,1
P00077,Samsung Tablet,Electronics,Samsung,207.24,2.1,22,-0.3482716789715139,2
P00078,Levis Jacket,Clothing,Levis,121.41,3.1,2,-0.9238458773584263,1
P00079,KitchenAid Air Purifier,Home & Garden,KitchenAid,445.71,4.5,33,1.2509031909961776,3
P00080,Whirlpool Vacuum,Home & Garden,Whirlpool,422.4,2.0,33,1.0945868148526505,3
