review_id,order_id,product_id,user_id,rating,review_text,review_date
R00000001,O00000001,P000018,U01010,5,Good product,2025-06-01T17:21:52
R00000002,O00000002,P000033,U01039,2,Good product,2026-04-20T22:22:47
R00000003,O00000003,P000091,U01023,5,Good product,2025-12-13T04:37:48
R00000004,O00000004,P000062,U01027,4,Good product,2025-05-01T10:36:46
R00000005,O00000005,P000076,U01089,1,Good product,2025-12-01T06:09:30
R00000006,O00000006,P000064,U01045,5,Good product,2026-04-10T19:15:00
R00000007,O00000007,P000004,U01013,1,Good product,2025-07-22T14:18:11
R00000008,O00000008,P000001,U01016,3,Good product,2025-08-14T16:01:24
R00000009,O00000009,P000085,U01073,3,Good product,2025-04-23T19:59:56
R00000010,O00000010,P000058,U01046,4,Good product,2025-06-23T07:10:10
R00000011,O00000011,P000022,U01099,3,Good product,2026-01-02T22:09:57
R00000012,O00000012,P000051,U01047,2,Good product,2025-11-03T08:41:57
R00000013,O00000013,P000062,U01003,3,Good product,2025-04-21T20:01:29
R00000014,O00000014,P000021,U01032,3,Good product,2025-05-28T05:57:21
R00000015,O00000015,P000027,U01064,1,Good product,2025-01-25T21:10:52
R00000016,O00000016,P000087,U01093,1,Good product,2025-01-09T23:46:32
R00000017,O00000017,P000017,U01088,4,Good product,2026-02-06T20:19:11
R00000018,O00000018,P000084,U01002,1,Good product,2026-01-10T14:07:15
R00000019,O00000019,P000043,U01098,3,Good product,2025-03-03T19:11:37
R00000020,O00000020,P000017,U01044,2,Good product,2026-02-08T17:16:54
